bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-04-01 13:30:00,2026-04-01,SHORT,24331.5,24316.5,TARGET,299.3,3074.2,both,53.3
2026-04-02 13:16:00,2026-04-02,SHORT,24162.75,24170.75,STOP,-160.7,2913.5,both,53.7
2026-04-06 10:00:00,2026-04-06,SHORT,24398.25,24383.25,TARGET,299.3,3212.8,both,54.0
2026-04-06 11:33:00,2026-04-06,LONG,24271.75,24263.75,STOP,-160.7,3052.1,both,53.1
2026-04-06 13:34:00,2026-04-06,SHORT,24308.75,24316.75,STOP,-160.7,2891.4,both,51.8
2026-04-07 12:03:00,2026-04-07,SHORT,24192.5,24200.5,STOP,-160.7,2730.7,both,65.0
2026-04-07 12:23:00,2026-04-07,SHORT,24184.75,24192.75,STOP,-160.7,2570.0,both,63.1
2026-04-07 12:48:00,2026-04-07,SHORT,24227.5,24212.5,TARGET,299.3,2869.3,both,50.9
2026-04-07 15:20:00,2026-04-07,SHORT,24258.5,24243.5,TARGET,299.3,3168.6,both,57.2
2026-04-08 09:33:00,2026-04-08,LONG,25154.25,25169.25,TARGET,299.3,3467.9,both,54.9
2026-04-08 11:35:00,2026-04-08,SHORT,25038.25,25046.25,STOP,-160.7,3307.2,both,54.0
2026-04-08 14:00:00,2026-04-08,LONG,25093.25,25108.25,TARGET,299.3,3606.5,both,53.6
