hypothesis,alert_timestamp_utc,alert_price,entry_bar_index,entry_price,direction_label,trade_date_et,day_of_week,time_bucket_30m,trade_pnl_ticks,mfe_ticks,mae_ticks,success_flag,prior_30m_absorptions,near_session_level_10t,nearest_session_level_distance_ticks,es_confluence_30m,nearest_es_absorption_minutes,entry_delay_bars,stop_loss_ticks,take_profit_ticks,entry_timestamp_utc,exit_timestamp_utc,exit_price,direction,pnl_ticks,outcome,bars_held
absorption_baseline,2025-10-22 16:33:04+00:00,24870.25,283303.0,24999.75,long_reversal,2025-10-22,Wednesday,12:30,-38.0,87.0,-234.0,True,5.0,False,1377.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:33:04+00:00,24870.25,,25002.5,,,,,,136.0,-507.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:35:00+00:00,2025-10-22 16:35:00+00:00,24992.5,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:33:05+00:00,24870.0,283303.0,24999.75,long_reversal,2025-10-22,Wednesday,12:30,-38.0,87.0,-234.0,True,6.0,False,1378.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:33:05+00:00,24870.0,,25002.5,,,,,,136.0,-507.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:35:00+00:00,2025-10-22 16:35:00+00:00,24992.5,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:33:06+00:00,24870.0,283303.0,24999.75,long_reversal,2025-10-22,Wednesday,12:30,-38.0,87.0,-234.0,True,7.0,False,1378.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:33:06+00:00,24870.0,,25002.5,,,,,,136.0,-507.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:35:00+00:00,2025-10-22 16:35:00+00:00,24992.5,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:33:07+00:00,24870.0,283303.0,24999.75,long_reversal,2025-10-22,Wednesday,12:30,-38.0,87.0,-234.0,True,8.0,False,1378.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:33:07+00:00,24870.0,,25002.5,,,,,,136.0,-507.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:35:00+00:00,2025-10-22 16:35:00+00:00,24992.5,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:33:09+00:00,24870.0,283303.0,24999.75,long_reversal,2025-10-22,Wednesday,12:30,-38.0,87.0,-234.0,True,9.0,False,1378.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:33:09+00:00,24870.0,,25002.5,,,,,,136.0,-507.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:35:00+00:00,2025-10-22 16:35:00+00:00,24992.5,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:50:11+00:00,24955.0,283320.0,24960.0,long_reversal,2025-10-22,Wednesday,12:30,87.0,306.0,-20.0,True,10.0,False,1038.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:50:11+00:00,24955.0,,24994.75,,,,,,167.0,-697.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:52:00+00:00,2025-10-22 16:52:00+00:00,24984.75,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:50:14+00:00,24955.0,283320.0,24960.0,long_reversal,2025-10-22,Wednesday,12:30,87.0,306.0,-20.0,True,11.0,False,1038.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:50:14+00:00,24955.0,,24994.75,,,,,,167.0,-697.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:52:00+00:00,2025-10-22 16:52:00+00:00,24984.75,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:50:15+00:00,24955.0,283320.0,24960.0,long_reversal,2025-10-22,Wednesday,12:30,87.0,306.0,-20.0,True,12.0,False,1038.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:50:15+00:00,24955.0,,24994.75,,,,,,167.0,-697.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:52:00+00:00,2025-10-22 16:52:00+00:00,24984.75,long_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 17:12:50+00:00,24960.0,283342.0,24946.5,long_reversal,2025-10-22,Wednesday,13:00,-174.0,64.0,-194.0,True,3.0,False,1018.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 17:12:50+00:00,24960.0,,24933.5,,,,,,77.0,-515.0,,,,,,,1.0,40.0,40.0,2025-10-22 17:14:00+00:00,2025-10-22 17:14:00+00:00,24943.5,long_reversal,40.0,take_profit,1.0
absorption_baseline,2025-10-22 17:12:51+00:00,24960.0,283342.0,24946.5,long_reversal,2025-10-22,Wednesday,13:00,-174.0,64.0,-194.0,True,4.0,False,1018.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 17:12:51+00:00,24960.0,,24933.5,,,,,,77.0,-515.0,,,,,,,1.0,40.0,40.0,2025-10-22 17:14:00+00:00,2025-10-22 17:14:00+00:00,24943.5,long_reversal,40.0,take_profit,1.0
absorption_baseline,2025-10-22 17:12:53+00:00,24960.0,283342.0,24946.5,long_reversal,2025-10-22,Wednesday,13:00,-174.0,64.0,-194.0,True,5.0,False,1018.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 17:12:53+00:00,24960.0,,24933.5,,,,,,77.0,-515.0,,,,,,,1.0,40.0,40.0,2025-10-22 17:14:00+00:00,2025-10-22 17:14:00+00:00,24943.5,long_reversal,40.0,take_profit,1.0
absorption_baseline,2025-10-22 17:12:54+00:00,24960.0,283342.0,24946.5,long_reversal,2025-10-22,Wednesday,13:00,-174.0,64.0,-194.0,True,6.0,False,1018.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 17:12:54+00:00,24960.0,,24933.5,,,,,,77.0,-515.0,,,,,,,1.0,40.0,40.0,2025-10-22 17:14:00+00:00,2025-10-22 17:14:00+00:00,24943.5,long_reversal,40.0,take_profit,1.0
absorption_baseline,2025-10-22 17:14:45+00:00,24940.0,283344.0,24924.75,short_reversal,2025-10-22,Wednesday,13:00,160.0,185.0,-69.0,True,7.0,False,1098.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 17:14:45+00:00,24940.0,,24923.5,,,,,,475.0,-70.0,,,,,,,1.0,40.0,40.0,2025-10-22 17:16:00+00:00,2025-10-22 17:16:00+00:00,24913.5,short_reversal,40.0,take_profit,1.0
absorption_baseline,2025-10-22 17:14:46+00:00,24940.0,283344.0,24924.75,short_reversal,2025-10-22,Wednesday,13:00,160.0,185.0,-69.0,True,8.0,False,1098.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 17:14:46+00:00,24940.0,,24923.5,,,,,,475.0,-70.0,,,,,,,1.0,40.0,40.0,2025-10-22 17:16:00+00:00,2025-10-22 17:16:00+00:00,24913.5,short_reversal,40.0,take_profit,1.0
