signal_id,category,score_tier,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
DELT_07,delta,QUIET,3,0.3333333333333333,-22.333333333333332,-0.6528279811123248,3,0.3333333333333333,453.3333333333333,0.5636376210594801,3,0.3333333333333333,370.6666666666667,0.5239387013171721,3,0.6666666666666666,467.6666666666667,0.5754650661878253,3,0.6666666666666666,550.6666666666666,0.5778685307173016
DELT_10,delta,QUIET,12513,0.4898905138655798,-0.12898585471110047,-0.003301254242309832,12513,0.4994006233517142,-1.3496363781667067,-0.0139673062337462,12513,0.4996403740110285,-3.2197714377047872,-0.023308648889111883,12513,0.5009190441940382,-4.200831135618956,-0.02411576697073114,12513,0.4881323423639415,-8.36130424358667,-0.03186594659829955
DELT_10,delta,TYPE_A,192,0.43523316062176165,-22.1875,-0.06961546877287023,192,0.49222797927461137,-12.203125,-0.029389276207067442,192,0.533678756476684,-5.9375,-0.010694397183897546,192,0.5647668393782384,15.760416666666666,0.031002473237053234,192,0.5751295336787565,50.270833333333336,0.10042953431544276
DELT_10,delta,TYPE_B,521,0.45489443378119004,-7.865642994241843,-0.04414756341694231,520,0.4510556621880998,-14.367307692307692,-0.0579759982219394,520,0.4932821497120921,-10.426923076923076,-0.035000760427015984,520,0.5047984644913628,-11.934615384615384,-0.03566140345953996,520,0.5297504798464492,5.9423076923076925,0.01422127710804816
DELT_10,delta,TYPE_C,7723,0.49488540722517155,0.5951055289395313,0.012197189616738094,7722,0.49359057361129094,-1.7293447293447293,-0.010464533225035431,7719,0.5038197591609478,-0.9721466511206115,-0.004154525467533209,7719,0.5058914929431568,0.1498898821090815,0.0005142719364165194,7719,0.5039492425223359,5.988599559528437,0.014863820812536038
ENG_05,other,QUIET,73646,0.45512606337865275,-0.39801211199522035,-0.009790196225754607,73646,0.46553496620319207,-0.13377508622328435,-0.0013627605343220326,73645,0.4662674445501041,-0.34941951252630865,-0.0025171390152318274,73643,0.4660104346038192,-0.4889806227340005,-0.002744131258542055,73635,0.46394150453622557,-1.4165953690500441,-0.005298360390773655
ENG_05,other,TYPE_A,984,0.4449715370018975,-10.670731707317072,-0.03161760158958724,984,0.4411764705882353,-23.586382113821138,-0.058912463795471784,984,0.4364326375711575,-26.784552845528456,-0.05322702797871685,984,0.4449715370018975,-18.071138211382113,-0.03234596578961845,984,0.46110056925996207,-14.538617886178862,-0.022471688980996874
ENG_05,other,TYPE_B,2443,0.42945230322814654,4.061399918133443,0.020660356876545362,2442,0.43126586869786,2.414823914823915,0.008861474495353827,2442,0.43271672107363074,0.3366093366093366,0.0009964937219102126,2442,0.426550598476605,-1.1142506142506143,-0.0030184166865429834,2442,0.4309031556039173,-5.2342342342342345,-0.011492893145195995
ENG_05,other,TYPE_C,42420,0.4533586985043296,-0.8768976897689769,-0.015479129478648658,42417,0.4537522959853057,-1.673692151731617,-0.009687172934542037,42414,0.45856293186390273,-1.9916536992502476,-0.00790672903858261,42411,0.45799440216915943,-0.789512154865483,-0.0025764205887517963,42406,0.4563106796116505,-2.0500165070980523,-0.0048104395369686715
ENG_06,poc,QUIET,1103,0.21266614542611414,-0.9020852221214869,-0.028347460793184464,1103,0.21344800625488664,-0.5158658204895739,-0.006370858247071054,1103,0.20484753713838938,-0.3100634632819583,-0.002372967784087187,1103,0.20953870211102424,-1.616500453309157,-0.009352972377529528,1103,0.21032056293979673,-5.9582955575702625,-0.024537154389032312
ENG_06,poc,TYPE_A,11,0.2962962962962963,50.54545454545455,0.28185974094525235,11,0.18518518518518517,46.72727272727273,0.27980795029196454,11,0.14814814814814814,-103.36363636363636,-0.35651821954157487,11,0.18518518518518517,-138.27272727272728,-0.3933310073901477,11,0.14814814814814814,-139.63636363636363,-0.2792912423567954
ENG_06,poc,TYPE_B,52,0.1958041958041958,10.557692307692308,0.14420792457061563,52,0.2097902097902098,2.5576923076923075,0.016312655011645326,52,0.17482517482517482,-11.365384615384615,-0.05193021358110463,52,0.17482517482517482,-22.923076923076923,-0.10549549991368773,52,0.20279720279720279,28.307692307692307,0.09252483197928424
ENG_06,poc,TYPE_C,718,0.22664924885695623,-1.0181058495821727,-0.02091792562115359,718,0.2286087524493795,-4.201949860724234,-0.03637037763839566,718,0.2194644023514043,-15.541782729805014,-0.0947228001152135,718,0.22077073807968647,-23.827298050139277,-0.11072752954167805,718,0.2201175702155454,-18.76044568245125,-0.061050853490134296
EXH_01,exhaustion,QUIET,27187,0.4895722220178762,0.02806488395188877,0.0006322690709655931,27187,0.5081840585573988,1.2761614006694375,0.012973546105514185,27187,0.499282745429801,0.02019347482252547,0.00014821713289696052,27187,0.4978114540037518,-0.3623055136646191,-0.002113858383678186,27182,0.5018207231397359,-0.7850783606798617,-0.0030524599375743302
EXH_01,exhaustion,TYPE_A,570,0.49298245614035086,1.780701754385965,0.00691626387984795,570,0.49473684210526314,-8.703508771929824,-0.026225534051143366,570,0.5052631578947369,-20.05438596491228,-0.044271459807719356,570,0.5017543859649123,-3.973684210526316,-0.007800963470534567,570,0.5087719298245614,0.5614035087719298,0.0008764961270120848
EXH_01,exhaustion,TYPE_B,1985,0.4896725440806045,0.24836272040302268,0.002546261541792137,1985,0.5017632241813602,3.4005037783375314,0.01618402732053692,1985,0.5037783375314862,-0.35214105793450884,-0.0012028522542990743,1985,0.5093198992443325,6.293198992443325,0.019347133453570045,1985,0.5027707808564231,9.638790931989924,0.022433280489523717
EXH_01,exhaustion,TYPE_C,22697,0.49037317707185973,0.10829625060580693,0.0022256425490797794,22697,0.49852403401330575,-0.1722694629246156,-0.001153044005136381,22696,0.4955721020399172,-1.9929943602396898,-0.008963035197853299,22694,0.4969819799973565,-1.6227637260950032,-0.00584694777507047,22688,0.5011675551835044,-3.6990038787023978,-0.009204273448220009
