label,cohort,n,wr_5b,avg_5b,median_5b,sharpe_5b,wr_10b,avg_10b,median_10b,sharpe_10b,wr_15b,avg_15b,median_15b,sharpe_15b,wr_30b,avg_30b,median_30b,sharpe_30b,category,signal_id,score_tier,combo_name,gap_bars,combo_type,n_signals,filter
absorption_then_exhaustion_30 gap=28,sequence_gap,261,0.4367816091954023,-4.939655172413793,-2.75,-0.08224100910353124,0.46360153256704983,-2.7863984674329503,-0.75,-0.04157947158077057,0.46360153256704983,-2.5201149425287355,-4.75,-0.03570308934378214,0.4904214559386973,-2.018199233716475,-1.0,-0.021936390100572488,,,,absorption_then_exhaustion_30,28.0,,,
absorption_then_exhaustion_30 gap=21,sequence_gap,251,0.5059760956175299,-0.44721115537848605,0.25,-0.01575345568042871,0.5059760956175299,-2.9252988047808763,0.25,-0.05905621920941596,0.47410358565737054,-1.5179282868525896,-2.0,-0.02518847538040193,0.4701195219123506,-1.6384462151394423,-4.75,-0.021095796384858433,,,,absorption_then_exhaustion_30,21.0,,,
absorption_then_exhaustion_30 gap=18,sequence_gap,286,0.46853146853146854,-1.3208041958041958,-1.25,-0.04172043127151958,0.513986013986014,-2.9597902097902096,1.375,-0.04965653357114592,0.513986013986014,-3.5673076923076925,0.625,-0.04813026741978156,0.5034965034965035,-0.8076923076923077,0.375,-0.009744414468284729,,,,absorption_then_exhaustion_30,18.0,,,
absorption_then_exhaustion_30 gap=13,sequence_gap,300,0.4866666666666667,-0.8091666666666667,-0.5,-0.021912844413312153,0.5233333333333333,-3.0541666666666667,1.0,-0.05686231819044502,0.47,-2.8833333333333333,-1.5,-0.05054097459678214,0.48,-7.113333333333333,-3.125,-0.08847769864864412,,,,absorption_then_exhaustion_30,13.0,,,
absorption_then_exhaustion_30 gap=9,sequence_gap,303,0.47854785478547857,0.5635313531353136,-0.5,0.011505427118419224,0.47194719471947194,-3.272277227722772,-1.75,-0.048309807171088626,0.48514851485148514,-1.976897689768977,-0.5,-0.026543190422244456,0.48184818481848185,-7.047029702970297,-2.0,-0.07110936480919888,,,,absorption_then_exhaustion_30,9.0,,,
absorption_then_exhaustion_30 gap=12,sequence_gap,273,0.4468864468864469,-3.011904761904762,-2.25,-0.0766847436436567,0.46886446886446886,-4.541208791208791,-1.0,-0.08543441758719385,0.46886446886446886,-4.7133699633699635,-2.25,-0.0743511001046752,0.4432234432234432,-3.5631868131868134,-5.75,-0.03756863435343831,,,,absorption_then_exhaustion_30,12.0,,,
absorption_then_exhaustion_30 gap=7,sequence_gap,312,0.5032051282051282,0.47836538461538464,0.25,0.010664005691141336,0.4583333333333333,-4.878205128205129,-2.25,-0.08142174496624179,0.49038461538461536,-2.2796474358974357,-1.5,-0.03014378010468895,0.5128205128205128,-2.8421474358974357,0.875,-0.023591825702924417,,,,absorption_then_exhaustion_30,7.0,,,
absorption_then_exhaustion_30 gap=11,sequence_gap,327,0.45871559633027525,-2.6077981651376145,-1.75,-0.07517553377205655,0.46788990825688076,-4.942660550458716,-1.5,-0.09404102648348608,0.5168195718654435,-3.973241590214067,1.5,-0.05580500570835568,0.4740061162079511,-2.5894495412844036,-2.0,-0.02681903266714907,,,,absorption_then_exhaustion_30,11.0,,,
absorption_then_exhaustion_30 gap=1,sequence_gap,330,0.48484848484848486,-6.346969696969697,-0.375,-0.08502390994335192,0.49696969696969695,-5.202272727272727,0.0,-0.05794684119929534,0.4575757575757576,-6.653030303030303,-2.5,-0.06679515474533239,0.4818181818181818,-3.7075757575757575,-5.125,-0.026927551102685382,,,,absorption_then_exhaustion_30,1.0,,,
absorption_then_exhaustion_30 gap=6,sequence_gap,318,0.4811320754716981,-4.734276729559748,-0.375,-0.08962727705408012,0.46855345911949686,-10.025943396226415,-2.5,-0.12240376391267606,0.48742138364779874,-9.961477987421384,-1.875,-0.1158867019256432,0.46226415094339623,-13.984276729559749,-2.875,-0.11143262553472835,,,,absorption_then_exhaustion_30,6.0,,,
