score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
80,1,12,24,0.3,60,8,0.875,12.274716486232972,0.0,22.87725011262747,99.44316491377322,795.5453193101857
80,1,12,24,0.5,15,8,0.75,9.14414494344873,8.704842090664897,16.650109103163114,80.69316491377322,645.5453193101857
80,1,12,24,0.5,30,8,0.875,11.849547125824595,0.0,22.189537767198946,95.69316491377322,765.5453193101857
80,1,12,24,0.5,60,8,0.875,12.274716486232972,0.0,22.87725011262747,99.44316491377322,795.5453193101857
80,1,12,24,0.7,15,8,0.75,9.14414494344873,8.704842090664897,16.650109103163114,80.69316491377322,645.5453193101857
80,1,12,24,0.7,30,8,0.875,11.849547125824595,0.0,22.189537767198946,95.69316491377322,765.5453193101857
80,1,12,24,0.7,60,8,0.875,12.274716486232972,0.0,22.87725011262747,99.44316491377322,795.5453193101857
80,1,12,32,0.3,15,8,0.75,9.838020274104561,8.704842090664897,16.430452541125504,87.56816491377322,700.5453193101857
80,1,12,32,0.3,30,8,0.875,13.5502245674581,0.0,20.276246441469937,110.69316491377322,885.5453193101857
80,1,12,32,0.3,60,8,0.875,15.10917888895548,0.0,22.372115374241368,124.44316491377322,995.5453193101857
80,1,12,32,0.5,15,8,0.75,9.838020274104561,8.704842090664897,16.430452541125504,87.56816491377322,700.5453193101857
80,1,12,32,0.5,30,8,0.875,13.5502245674581,0.0,20.276246441469937,110.69316491377322,885.5453193101857
80,1,12,32,0.5,60,8,0.875,15.10917888895548,0.0,22.372115374241368,124.44316491377322,995.5453193101857
80,1,12,32,0.7,15,8,0.75,9.838020274104561,8.704842090664897,16.430452541125504,87.56816491377322,700.5453193101857
80,1,12,32,0.7,30,8,0.875,13.5502245674581,0.0,20.276246441469937,110.69316491377322,885.5453193101857
80,1,12,32,0.7,60,8,0.875,15.10917888895548,0.0,22.372115374241368,124.44316491377322,995.5453193101857
80,1,12,40,0.3,15,8,0.75,10.279577302703728,8.704842090664897,16.121788305104488,91.94316491377322,735.5453193101857
80,1,12,40,0.3,30,8,0.875,14.82573264868323,0.0,18.941675092258425,121.94316491377322,975.5453193101857
80,1,12,40,0.3,60,8,0.875,17.093302570861237,0.0,21.926260666839966,141.94316491377322,1135.5453193101857
